"geo_code";"geo_nom";"effectif_43plus";"effectif_55plus";"part_55plus_pct";"departs_55plus";"departs_55plus_bas";"departs_55plus_haut";"dep_55_retraite";"dep_55_invalidite";"dep_55_deces";"taux_depart_55plus_pct";"taux_55plus_bas_pct";"taux_55plus_haut_pct"
"64";"Pyrénées-Atlantiques";315;128;40,6;110,7;107,2;113,9;108,8;1,3;0,7;86,5;83,8;89
"01";"Ain";310;118;38,1;102,4;99,1;105,4;100,6;1,2;0,7;86,8;84;89,3
"83";"Var";317;116;36,6;99,8;96,6;102,7;98;1,2;0,6;86;83,3;88,5
"59";"Nord";318;115;36,2;103,7;101;106;102,3;0,9;0,5;90,2;87,8;92,2
"18";"Cher";275;97;35,3;84,9;82,3;87,2;83,5;0,9;0,5;87,6;84,9;89,9
"69";"Rhône";275;97;35,3;81,2;78,4;83,8;79,6;1;0,6;83,7;80,9;86,4
"87";"Haute-Vienne";317;110;34,7;95;92;97,6;93,3;1,1;0,6;86,3;83,6;88,8
"44";"Loire-Atlantique";307;105;34,2;94;91,6;96,1;92,7;0,9;0,4;89,6;87,3;91,5
"2B";"Haute-Corse";319;108;33,9;96,8;94,2;99;95,3;0,9;0,5;89,6;87,2;91,7
"35";"Ille-et-Vilaine";232;76;32,8;66;63,9;67,8;64,8;0,8;0,4;86,8;84,1;89,2
"09";"Ariège";299;93;31,1;81,5;79,1;83,6;80,1;0,9;0,5;87,6;85;89,9
"33";"Gironde";278;84;30,2;74,3;72,2;76,1;73,1;0,8;0,4;88,4;85,9;90,6
"78";"Yvelines";255;74;29;67,2;65,6;68,5;66,3;0,5;0,3;90,7;88,7;92,5
"75";"Paris";295;85;28,8;74,5;72,3;76,4;73,3;0,8;0,4;87,6;85;89,9
"2A";"Corse-du-Sud";270;68;25,2;58,9;57,1;60,5;57,9;0,6;0,4;86,6;84;88,9
"93";"Seine-Saint-Denis";244;60;24,6;50,7;48,8;52,4;49,6;0,7;0,4;84,6;81,4;87,4
"03";"Allier";274;59;21,5;53,1;51,7;54,3;52,3;0,5;0,2;90;87,6;92
"56";"Morbihan";251;54;21,5;46,7;45,2;48;45,9;0,5;0,3;86,5;83,7;89
"91";"Essonne";239;46;19,2;40,2;38,9;41,3;39,5;0,5;0,2;87,4;84,6;89,8
"86";"Vienne";235;39;16,6;34,1;33,1;34,9;33,5;0,3;0,2;87,4;84,9;89,6
