"ze";"effectif_43plus";"effectif_55plus";"part_55plus_pct";"departs_55plus";"departs_55plus_bas";"departs_55plus_haut";"dep_55_retraite";"dep_55_invalidite";"dep_55_deces";"taux_depart_55plus_pct";"taux_55plus_bas_pct";"taux_55plus_haut_pct"
"Versailles";165;67;40,6;57,5;55,6;59,1;56,4;0,7;0,3;85,8;83;88,2
"Tarbes";156;62;39,7;53,8;52,3;55,2;52,9;0,6;0,3;86,8;84,4;89
"Belfort";143;56;39,2;47,2;45,6;48,7;46,3;0,6;0,3;84,3;81,4;87
"Poitiers";141;54;38,3;48,2;47;49,4;47,6;0,4;0,2;89,3;87;91,4
"Lille";170;65;38,2;55,9;54,1;57,5;54,9;0,6;0,4;86;83,3;88,5
"Cherbourg-en-Cotentin";157;60;38,2;51,6;49,9;53,2;50,7;0,6;0,3;86,1;83,1;88,7
"Paris";157;60;38,2;53;51,5;54,3;52,1;0,6;0,3;88,3;85,8;90,4
"Dijon";155;59;38,1;52,2;50,8;53,5;51,4;0,5;0,3;88,5;86,1;90,7
"Mulhouse";119;45;37,8;39,8;38,7;40,8;39,2;0,4;0,2;88,5;85,9;90,7
"Limoges";138;51;37;43,8;42,4;45,1;43;0,5;0,3;85,9;83,1;88,4
"Évry";142;52;36,6;46,4;45,1;47,5;45,7;0,5;0,2;89,2;86,6;91,4
"Lorient";165;60;36,4;52,1;50,4;53,6;51,2;0,6;0,3;86,9;84,1;89,4
"Nice";152;54;35,5;46,4;44,8;47,8;45,5;0,5;0,3;85,8;82,9;88,5
"Nancy";167;59;35,3;51;49,4;52,4;50;0,6;0,3;86,4;83,7;88,8
"Aix-en-Provence";156;54;34,6;47,7;46,3;49;46,9;0,6;0,2;88,4;85,7;90,8
"Bordeaux";132;45;34,1;41,6;40,7;42,3;41,1;0,3;0,1;92,4;90,5;94
"Tours";130;44;33,8;38,8;37,8;39,7;38,2;0,4;0,3;88,2;85,8;90,3
"Angoulême";112;37;33;31,8;30,7;32,7;31,2;0,4;0,2;85,9;83;88,4
"Valenciennes";129;42;32,6;37,8;36,8;38,8;37,3;0,4;0,2;90,1;87,5;92,3
"Pau";117;38;32,5;33,7;32,9;34,5;33,2;0,3;0,2;88,8;86,6;90,7
"Brest";146;46;31,5;39,8;38,4;41,1;39,1;0,5;0,2;86,6;83,6;89,2
"Caen";140;44;31,4;39,7;38,8;40,5;39,2;0,4;0,2;90,3;88,1;92,1
"Douai";154;48;31,2;41,5;40,2;42,7;40,7;0,4;0,3;86,4;83,7;88,9
"Toulouse";141;42;29,8;37,1;36;38;36,5;0,4;0,2;88,3;85,8;90,5
"Marseille";128;38;29,7;32;30,9;33;31,4;0,4;0,2;84,3;81,4;87
"Bourges";133;39;29,3;33,8;32,7;34,8;33,2;0,4;0,2;86,8;83,9;89,2
"Toulon";140;41;29,3;35;33,8;36;34,3;0,4;0,3;85,4;82,5;87,9
"Rennes";139;37;26,6;33;32,2;33,7;32,6;0,3;0,1;89,3;87,2;91,1
"Rouen";115;30;26,1;24,3;23,3;25,2;23,7;0,3;0,3;80,9;77,8;83,9
"Grenoble";126;32;25,4;28,5;27,8;29,2;28,1;0,3;0,2;89,2;86,8;91,3
"Saint-Nazaire";113;27;23,9;24,5;23,9;25;24,2;0,2;0,1;90,9;88,7;92,7
"Le Mans";109;26;23,9;21,4;20,5;22,1;20,9;0,3;0,2;82,1;79;85
"Créteil";135;32;23,7;29,2;28,5;29,7;28,8;0,2;0,1;91,2;89,1;93
"Nantes";107;24;22,4;21;20,3;21,5;20,6;0,2;0,1;87,3;84,6;89,7
"Le Havre";119;26;21,8;23,5;23;24;23,3;0,2;0,1;90,6;88,4;92,4
"Metz";99;21;21,2;17,7;17;18,4;17,3;0,2;0,2;84,4;80,8;87,5
"Clermont-Ferrand";128;26;20,3;22,7;22,1;23,3;22,4;0,2;0,1;87,4;85,1;89,6
"Valence";125;24;19,2;20,7;20;21,3;20,4;0,2;0,1;86,2;83,5;88,7
"Istres";118;21;17,8;20,1;19,8;20,4;20;0,1;0;95,9;94,5;97
"Strasbourg";105;18;17,1;15,6;15;16,1;15,3;0,2;0,1;86,6;83,5;89,4
"Lyon";108;17;15,7;14,7;14,2;15,1;14,4;0,2;0,1;86,5;83,5;89,1
"Orléans";91;9;9,9;8,2;8;8,4;8,1;0,1;0;91;88,5;93,2
