"cs1";"tranche";"sortie_emploi";"maintien";"dont_invalidite";"dont_deces"
"Cadres";"43-48 ans";2,1;97,9;0,9;1,2
"Cadres";"49-54 ans";4,3;95,7;1,6;1,9
"Cadres";"55-60 ans";37,8;62,2;2;2,1
"Cadres";"61 ans et +";94;6;0,3;0,3
"Employes";"43-48 ans";3,6;96,4;2,4;1,2
"Employes";"49-54 ans";13,2;86,8;3,8;1,8
"Employes";"55-60 ans";71,7;28,3;2,3;0,9
"Employes";"61 ans et +";99,2;0,8;0,1;0
"Ouvriers";"43-48 ans";4,8;95,2;3,5;1,2
"Ouvriers";"49-54 ans";20,3;79,7;5,1;1,7
"Ouvriers";"55-60 ans";81,9;18,1;2,1;0,6
"Ouvriers";"61 ans et +";99,7;0,3;0,1;0
"Prof. intermediaires";"43-48 ans";3,1;96,9;1,8;1,2
"Prof. intermediaires";"49-54 ans";8,8;91,2;3,1;1,9
"Prof. intermediaires";"55-60 ans";60,6;39,4;2,5;1,3
"Prof. intermediaires";"61 ans et +";98,3;1,7;0,2;0,1
