"geo_code";"geo_nom";"cs1";"effectif_43plus";"effectif_55plus";"part_55plus_pct";"departs_55plus";"perte_seniors_pct";"sous_seuil"
"59";"Nord";"Employes";64;32;50;29,5;46,1;FALSE
"64";"Pyrénées-Atlantiques";"Ouvriers";93;42;45,2;40;43,1;FALSE
"44";"Loire-Atlantique";"Ouvriers";89;39;43,8;37,9;42,6;FALSE
"64";"Pyrénées-Atlantiques";"Employes";55;24;43,6;22,1;40,3;FALSE
"01";"Ain";"Ouvriers";92;38;41,3;36,2;39,3;FALSE
"18";"Cher";"Ouvriers";78;30;38,5;29;37,2;FALSE
"87";"Haute-Vienne";"Prof. intermediaires";77;33;42,9;28,5;37;FALSE
"83";"Var";"Employes";60;24;40;22,2;36,9;FALSE
"01";"Ain";"Prof. intermediaires";88;37;42;32,1;36,5;FALSE
"35";"Ille-et-Vilaine";"Ouvriers";60;23;38,3;21,9;36,4;FALSE
"87";"Haute-Vienne";"Ouvriers";97;36;37,1;34,3;35,4;FALSE
"78";"Yvelines";"Employes";51;19;37,3;18;35,4;FALSE
"2B";"Haute-Corse";"Employes";68;26;38,2;24;35,3;FALSE
"01";"Ain";"Employes";58;22;37,9;20,1;34,6;FALSE
"59";"Nord";"Ouvriers";106;37;34,9;36;34;FALSE
"2B";"Haute-Corse";"Prof. intermediaires";88;33;37,5;29,2;33,1;FALSE
"75";"Paris";"Employes";51;19;37,3;16,9;33;FALSE
"35";"Ille-et-Vilaine";"Prof. intermediaires";69;26;37,7;22,7;32,9;FALSE
"83";"Var";"Ouvriers";94;32;34;30,9;32,8;FALSE
"69";"Rhône";"Ouvriers";78;27;34,6;25,6;32,8;FALSE
"69";"Rhône";"Employes";54;18;33,3;17,4;32,2;FALSE
"18";"Cher";"Prof. intermediaires";83;31;37,3;26,7;32,2;FALSE
"33";"Gironde";"Ouvriers";84;28;33,3;26,7;31,8;FALSE
"64";"Pyrénées-Atlantiques";"Prof. intermediaires";83;29;34,9;25,7;31;FALSE
"09";"Ariège";"Ouvriers";88;28;31,8;26,7;30,3;FALSE
"59";"Nord";"Prof. intermediaires";77;25;32,5;22,9;29,7;FALSE
"09";"Ariège";"Employes";53;17;32,1;15,7;29,6;FALSE
"2B";"Haute-Corse";"Ouvriers";88;27;30,7;25,9;29,4;FALSE
"83";"Var";"Prof. intermediaires";88;30;34,1;25,4;28,8;FALSE
"87";"Haute-Vienne";"Employes";63;19;30,2;18,1;28,7;FALSE
"83";"Var";"Cadres";75;30;40;21,4;28,5;FALSE
"18";"Cher";"Employes";45;14;31,1;12,7;28,2;FALSE
"09";"Ariège";"Prof. intermediaires";74;24;32,4;20,8;28,1;FALSE
"44";"Loire-Atlantique";"Prof. intermediaires";71;21;29,6;19,8;27,8;FALSE
"33";"Gironde";"Employes";54;16;29,6;14,9;27,6;FALSE
"75";"Paris";"Prof. intermediaires";82;24;29,3;22,4;27,4;FALSE
"78";"Yvelines";"Cadres";53;18;34;14,5;27,3;FALSE
