"siren";"effectif_43plus_2024";"departs_2030";"departs_bas";"departs_haut";"part_departs_pct"
"354983603";583;246,3;235,3;257,6;42,3
"388351250";569;235,2;224,6;246;41,3
"788343570";631;260,4;246,9;274,3;41,3
"522979960";583;240,5;229,1;251,8;41,2
"171336577";619;254,6;243,1;266,5;41,1
"742455500";623;255,1;243,8;266,9;41
"121133375";625;253,6;240,4;267,1;40,6
"315606938";582;236;224,4;247,8;40,5
"117170278";573;232,2;221;243,6;40,5
"612313453";585;237;225,3;249;40,5
"611358983";596;241;229,8;252,5;40,4
"644023153";591;238,2;225,9;250,8;40,3
"475611043";563;226,6;214,8;238,7;40,2
"399757373";575;231,4;219,6;243,3;40,2
"684428029";570;229,1;218;240,4;40,2
"123138590";620;248,5;235,4;261,9;40,1
"304799357";586;234,7;223,7;245,8;40
"613793767";567;227;216,5;237,7;40
"796754210";591;236,5;225,5;247,7;40
"158712956";596;238,2;225,8;251;40
"710024225";593;236,8;224,7;249,2;39,9
"241870537";564;225,1;213;237,5;39,9
"231406262";581;231,8;219,9;243,9;39,9
"632345483";565;225,4;215;236,1;39,9
"775904574";575;229,1;218,6;239,8;39,8
"968170545";587;233,8;221,8;246;39,8
"960367492";556;221,4;211,3;231,6;39,8
"156720003";591;235,2;222,2;248,6;39,8
"874895921";569;226;215,2;237;39,7
"711974376";608;241,5;229,5;253,8;39,7
"847243567";548;217,6;206,3;229,4;39,7
"676811513";573;227,6;215,9;239,4;39,7
"996335382";561;222,6;211,9;233,5;39,7
"383936276";609;241,5;229,5;253,6;39,7
"238418923";601;238,3;226,8;250;39,7
"700142192";610;241,7;229,4;254,1;39,6
"976494926";605;239,6;228,3;251,3;39,6
"992592705";557;220,5;210,6;230,7;39,6
"813660949";601;237,9;226,4;249,8;39,6
"276542644";599;237;224,6;249,7;39,6
"540013151";570;225,1;212,9;237,6;39,5
"133038048";596;235,1;222,4;248,1;39,4
"471009660";561;221;209;233,2;39,4
