"code";"Département";"effectif";"departs";"dont_retraite";"dont_invalidite";"dont_deces";"taux_pct";"bas";"haut"
"64";"Pyrénées-Atlantiques";128;110,7;108,8;1,3;0,7;86,5;107,2;113,9
"59";"Nord";115;103,7;102,3;0,9;0,5;90,2;101;106
"01";"Ain";118;102,4;100,6;1,2;0,7;86,8;99,1;105,4
"83";"Var";116;99,8;98;1,2;0,6;86;96,6;102,7
"2B";"Haute-Corse";108;96,8;95,3;0,9;0,5;89,6;94,2;99
"87";"Haute-Vienne";110;95;93,3;1,1;0,6;86,3;92;97,6
"44";"Loire-Atlantique";105;94;92,7;0,9;0,4;89,6;91,6;96,1
"18";"Cher";97;84,9;83,5;0,9;0,5;87,6;82,3;87,2
"09";"Ariège";93;81,5;80,1;0,9;0,5;87,6;79,1;83,6
"69";"Rhône";97;81,2;79,6;1;0,6;83,7;78,4;83,8
"75";"Paris";85;74,5;73,3;0,8;0,4;87,6;72,3;76,4
"33";"Gironde";84;74,3;73,1;0,8;0,4;88,4;72,2;76,1
"78";"Yvelines";74;67,2;66,3;0,5;0,3;90,7;65,6;68,5
"35";"Ille-et-Vilaine";76;66;64,8;0,8;0,4;86,8;63,9;67,8
"2A";"Corse-du-Sud";68;58,9;57,9;0,6;0,4;86,6;57,1;60,5
"03";"Allier";59;53,1;52,3;0,5;0,2;90;51,7;54,3
"93";"Seine-Saint-Denis";60;50,7;49,6;0,7;0,4;84,6;48,8;52,4
"56";"Morbihan";54;46,7;45,9;0,5;0,3;86,5;45,2;48
"91";"Essonne";46;40,2;39,5;0,5;0,2;87,4;38,9;41,3
"86";"Vienne";39;34,1;33,5;0,3;0,2;87,4;33,1;34,9
"";"Ensemble du périmètre";1732;1515,6;1490,4;16,4;8,8;87,5;1470,4;1555,6
