"Zone d'emploi";"effectif";"departs";"dont_retraite";"dont_invalidite";"dont_deces";"taux_pct";"bas";"haut"
"Versailles";67;57,5;56,4;0,7;0,3;85,8;55,6;59,1
"Lille";65;55,9;54,9;0,6;0,4;86;54,1;57,5
"Tarbes";62;53,8;52,9;0,6;0,3;86,8;52,3;55,2
"Paris";60;53;52,1;0,6;0,3;88,3;51,5;54,3
"Dijon";59;52,2;51,4;0,5;0,3;88,5;50,8;53,5
"Lorient";60;52,1;51,2;0,6;0,3;86,9;50,4;53,6
"Cherbourg-en-Cotentin";60;51,6;50,7;0,6;0,3;86,1;49,9;53,2
"Nancy";59;51;50;0,6;0,3;86,4;49,4;52,4
"Poitiers";54;48,2;47,6;0,4;0,2;89,3;47;49,4
"Aix-en-Provence";54;47,7;46,9;0,6;0,2;88,4;46,3;49
"Belfort";56;47,2;46,3;0,6;0,3;84,3;45,6;48,7
"Évry";52;46,4;45,7;0,5;0,2;89,2;45,1;47,5
"Nice";54;46,4;45,5;0,5;0,3;85,8;44,8;47,8
"Limoges";51;43,8;43;0,5;0,3;85,9;42,4;45,1
"Bordeaux";45;41,6;41,1;0,3;0,1;92,4;40,7;42,3
"Douai";48;41,5;40,7;0,4;0,3;86,4;40,2;42,7
"Brest";46;39,8;39,1;0,5;0,2;86,6;38,4;41,1
"Mulhouse";45;39,8;39,2;0,4;0,2;88,5;38,7;40,8
"Caen";44;39,7;39,2;0,4;0,2;90,3;38,8;40,5
"Tours";44;38,8;38,2;0,4;0,3;88,2;37,8;39,7
"Valenciennes";42;37,8;37,3;0,4;0,2;90,1;36,8;38,8
"Toulouse";42;37,1;36,5;0,4;0,2;88,3;36;38
"Toulon";41;35;34,3;0,4;0,3;85,4;33,8;36
"Bourges";39;33,8;33,2;0,4;0,2;86,8;32,7;34,8
"Pau";38;33,7;33,2;0,3;0,2;88,8;32,9;34,5
"Rennes";37;33;32,6;0,3;0,1;89,3;32,2;33,7
"Marseille";38;32;31,4;0,4;0,2;84,3;30,9;33
"Angoulême";37;31,8;31,2;0,4;0,2;85,9;30,7;32,7
"Créteil";32;29,2;28,8;0,2;0,1;91,2;28,5;29,7
"Grenoble";32;28,5;28,1;0,3;0,2;89,2;27,8;29,2
"Saint-Nazaire";27;24,5;24,2;0,2;0,1;90,9;23,9;25
"Rouen";30;24,3;23,7;0,3;0,3;80,9;23,3;25,2
"Le Havre";26;23,5;23,3;0,2;0,1;90,6;23;24
"Clermont-Ferrand";26;22,7;22,4;0,2;0,1;87,4;22,1;23,3
"Le Mans";26;21,4;20,9;0,3;0,2;82,1;20,5;22,1
"Nantes";24;21;20,6;0,2;0,1;87,3;20,3;21,5
"Valence";24;20,7;20,4;0,2;0,1;86,2;20;21,3
"Istres";21;20,1;20;0,1;0;95,9;19,8;20,4
"Metz";21;17,7;17,3;0,2;0,2;84,4;17;18,4
"Strasbourg";18;15,6;15,3;0,2;0,1;86,6;15;16,1
"Lyon";17;14,7;14,4;0,2;0,1;86,5;14,2;15,1
"Orléans";9;8,2;8,1;0,1;0;91;8;8,4
"Ensemble du périmètre";1732;1514,6;1489,4;16,5;8,8;87,4;1469,3;1554,7
